Term,Source,Source_Subset,Domain,Concept_Term_Represents,Dimension_or_Cluster,WhichPole,Notes,Removed
tarnishes,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,impure,,
tarnishing,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,impure,,
trashy,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,impure,,
wicked,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,impure,,
wickedest,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,impure,,
blameless,reversedictionary.org,,,guilt,Dimension,innocent,remove? Diff 1980 menaings,remove
blamelessly,,,,guilt,Dimension,innocent,remove? Diff 1980 menaings,remove
defenseless,,,,guilt,Dimension,innocent,,
faultless,reversedictionary.org,,,guilt,Dimension,innocent,,
faultlessy,,,,guilt,Dimension,innocent,,
guiltless,reversedictionary.org,,,guilt,Dimension,innocent,,
infallible,,,,guilt,Dimension,innocent,remove? Diff 1980 menaings,remove
innocence,reversedictionary.org,,,guilt,Dimension,innocent,,
innocent,reversedictionary.org,,,guilt,Dimension,innocent,,
innocently,reversedictionary.org,,,guilt,Dimension,innocent,,
innocents,,,,guilt,Dimension,innocent,,
victim,reversedictionary.org,,,guilt,Dimension,innocent,,
victims,reversedictionary.org,,,guilt,Dimension,innocent,,
decent,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,didn't add decently - polysemous (decent already in MFD lexicon), 
doctrine,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
ethically,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
ethics,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
exemplary,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
good,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
goodness,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
honest,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
honestly,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
honesty,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
idealist,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
idealistic,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
idealistically,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
integrity,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
laudable,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
lawful,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
lawfully,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
legal,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
legally,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
moral,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
morality,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
morally,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
morals,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
noble,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
nobly,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
piety,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
pious,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
piously,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
praiseworthy,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
principled,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
principles,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
proper,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
righteous,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
righteousness,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
upright,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
upstanding,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
value,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
values,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
wholesome,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
worthy,"Moral foundations theory (with a few words droppoed, like ""wretched"" and a few words added (.e,g, has offend and offending but didn't have offends and offended which we added)",,,morality_general,Dimension,moral,,
austerity,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
church,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
churches,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
decency,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
decent,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,"decent already in moral foundations lexicon but didn't add decently since polysemous (i.e., decently clean)", 
holiness,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
holy,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
immaculate,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
immaculately,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
innocent,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
innocently,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
maiden,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
maidens,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
piety,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
pious,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
piously,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
preserve,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
preserving,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
pristine,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
pure,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
purely,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
purest,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
purity,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
refined,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
sacred,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
saint,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
saintly,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
virtuous,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
wholesome,"Moral foundations theory, Purity dimension (without words about literal cleanliness/dirtiness or sexuality (e.g., without celibacy, celibate, vigin, whore, slut, abstention, etc. and with a few other forms of words (e.g, gross is in there, but we added grosser, grossest))",,,purity,Dimension,pure,,
assurance,,,,danger_safety,Dimensions,safe,,
assure,,,,danger_safety,Dimensions,safe,,
assured,,,,danger_safety,Dimensions,safe,,
assuring,,,,danger_safety,Dimensions,safe,,
comfort,,,,danger_safety,Dimensions,safe,,
comforted,,,,danger_safety,Dimensions,safe,,
comforting,,,,danger_safety,Dimensions,safe,,
innocuous,,,,danger_safety,Dimensions,safe,,
protect,,,,danger_safety,Dimensions,safe,,
protected,,,,danger_safety,Dimensions,safe,,
protecting,,,,danger_safety,Dimensions,safe,,
protector,,,,danger_safety,Dimensions,safe,,
protectors,,,,danger_safety,Dimensions,safe,,
protects,,,,danger_safety,Dimensions,safe,,
reassurance,,,,danger_safety,Dimensions,safe,,
reassure,,,,danger_safety,Dimensions,safe,,
reassured,,,,danger_safety,Dimensions,safe,,
reassuring,,,,danger_safety,Dimensions,safe,,
refuge,,,,danger_safety,Dimensions,safe,,
safe,,,,danger_safety,Dimensions,safe,,
safe_and_sound,,,,danger_safety,Dimensions,safe,,
safe_house,,,,danger_safety,Dimensions,safe,,
safeguard,,,,danger_safety,Dimensions,safe,,
safeguarded,,,,danger_safety,Dimensions,safe,,
safeguarding,,,,danger_safety,Dimensions,safe,,
safeguards,,,,danger_safety,Dimensions,safe,,
safehouse,,,,danger_safety,Dimensions,safe,,
safely,,,,danger_safety,Dimensions,safe,,
safeness,,,,danger_safety,Dimensions,safe,,
safer,,,,danger_safety,Dimensions,safe,,
safest,,,,danger_safety,Dimensions,safe,,
safety,,,,danger_safety,Dimensions,safe,,
sanctuary,,,,danger_safety,Dimensions,safe,,
secure,,,,danger_safety,Dimensions,safe,,
shelter,,,,danger_safety,Dimensions,safe,,
sheltered,,,,danger_safety,Dimensions,safe,,
sheltering,,,,danger_safety,Dimensions,safe,,
shelters,,,,danger_safety,Dimensions,safe,,
shield,,,,danger_safety,Dimensions,safe,,
shielded,,,,danger_safety,Dimensions,safe,,
shielding,,,,danger_safety,Dimensions,safe,,
shields,,,,danger_safety,Dimensions,safe,,
soothe,,,,danger_safety,Dimensions,safe,,
soothed,,,,danger_safety,Dimensions,safe,,
soothes,,,,danger_safety,Dimensions,safe,,
soothing,,,,danger_safety,Dimensions,safe,,
unharmed,,,,danger_safety,Dimensions,safe,,
unthreatening,,,,danger_safety,Dimensions,safe,,
adversity,,,,pity,Cluster,,I wonder if this may be more than one cluster - suffering and effort seem separate to me,
afflicted,,,,pity,Cluster,,,
afflicted_with,,,,pity,Cluster,,,
agony,,,,pity,Cluster,,,
effort,,,,pity,Cluster,,,
hardship,,,,pity,Cluster,,,
in_vain,,,,pity,Cluster,,,
struggle,,,,pity,Cluster,,,
struggled,,,,pity,Cluster,,,
struggles,,,,pity,Cluster,,,
struggles_with,,,,pity,Cluster,,,
struggling,,,,pity,Cluster,,,
struggling_with,,,,pity,Cluster,,,
suffered,,,,pity,Cluster,,,
suffered_from,,,,pity,Cluster,,,
suffering,,,,pity,Cluster,,,
suffering_from,,,,pity,Cluster,,,
suffers,,,,pity,Cluster,,,
suffers_from,,,,pity,Cluster,,,
trying,,,,pity,Cluster,,,
weight_loss,,,,health_behaviors,,bodyweight,,
high_fiber,,,,health_behaviors,,diet,,
dietary,,,,health_behaviors,,diet,,
low_cholesterol,,,,health_behaviors,,diet,,
jogging,,,,health_behaviors,,exercise,,
physical_fitness,,,,health_behaviors,,exercise,,
aerobic,,,,health_behaviors,,exercise,,
aerobics,,,,health_behaviors,,exercise,,
fitness,,,,health_behaviors,,exercise,"don't include ""fit"" - polysemous",
nutritional,,,,health_behaviors,,diet,,
nutritionally,,,,health_behaviors,,diet,,
caffeine,,,,health_behaviors,,misc_health,??,
diet,,,,health_behaviors,,diet,,
diets,,,,health_behaviors,,diet,,
dieting,,,,health_behaviors,,diet,,
calorie,,,,health_behaviors,,diet,,
calories,,,,health_behaviors,,diet,,
caloric,,,,health_behaviors,,diet,,
sugars,,,,health_behaviors,,diet,,
sugar,,,,health_behaviors,,diet,,
sugary,,,,health_behaviors,,diet,,
high_fat,,,,health_behaviors,,diet,,
low_fat,,,,health_behaviors,,diet,,
nutritious,,,,health_behaviors,,diet,,
fatty,,,,health_behaviors,,diet,,
fattening,,,,health_behaviors,,diet,,
saturated,,,,health_behaviors,,diet,,
saturated_fats,,,,health_behaviors,,diet,,
saturated_fat,,,,health_behaviors,,diet,,
junk_food,,,,health_behaviors,,diet,,
soft_drinks,,,,health_behaviors,,diet,,
life_styles,,,,health_behaviors,,general_health,,
life_style,,,,health_behaviors,,general_health,,
lifestyles,,,,health_behaviors,,general_health,,
eating_habits,,,,health_behaviors,,diet,,
appetites,,,,health_behaviors,,diet,,
workouts,,,,health_behaviors,,exercise,,
nonsmoking,,,,health_behaviors,,smoking,,
nonsmokers,,,,health_behaviors,,smoking,,
nonsmoker,,,,health_behaviors,,smoking,,
smoking,,,,health_behaviors,,smoking,,
smoker,,,,health_behaviors,,smoking,,
smokers,,,,health_behaviors,,smoking,,
sexually_active,,,,health_behaviors,,sex,????,
otherwise_healthy,,,,health_behaviors,,general_health,???,
plant_based_diet,,,,health_behaviors,,diet,,
cardio,,,,health_behaviors,,exercise,,
exercise_routine,,,,health_behaviors,,exercise,,
regimen,,,,health_behaviors,,general_health,"seems to also be used in context of chemo regimens, not just diet/health/exercise",remove
regimens,,,,health_behaviors,,general_health,"seems to also be used in context of chemo regimens, not just diet/health/exercise",remove
healthy_diet,,,,health_behaviors,,diet,,
healthy_lifestyle,,,,health_behaviors,,general_health,,
heart_healthy,,,,health_behaviors,,diet,,
self_management,,,,health_behaviors,,general_health,,
self_help,,,,health_behaviors,,general_health,,
lifestyle_changes,,,,health_behaviors,,general_health,,
lose_weight,,,,health_behaviors,,bodyweight,,
losing_weight,,,,health_behaviors,,bodyweight,,
overeating,,,,health_behaviors,,diet,,
gain_weight,,,,health_behaviors,,bodyweight,,
quit_smoking,,,,health_behaviors,,smoking,,
physical_activity,,,,health_behaviors,,exercise,,
hydrate,,,,health_behaviors,,misc_health,,
muscle_mass,,,,health_behaviors,,bodyweight,,
reduce_stress,,,,health_behaviors,,stress,,
nutrition,,,,health_behaviors,,diet,,
mindfulness,,,,health_behaviors,,stress,,
self_care,,,,health_behaviors,,general_health,,
healthy_living,,,,health_behaviors,,general_health,,
self_improvement,,,,health_behaviors,,general_health,,
work_life_balance,,,,health_behaviors,,general_health,,
body_weight,,,,health_behaviors,,bodyweight,,
low_carbohydrate,,,,health_behaviors,,diet,,
low_carb,,,,health_behaviors,,diet,,
meditation,,,,health_behaviors,,stress,,
yoga,,,,health_behaviors,,stress,,
smoking_cessation,,,,health_behaviors,,smoking,,
dehydrated,,,,health_behaviors,,misc_health,,
sedentary,,,,health_behaviors,,exercise,,
relaxation,,,,health_behaviors,,stress,,
mindset,,,,health_behaviors,,stress,,
healthy_lifestyles,,,,health_behaviors,,general_health,,
health_conscious,,,,health_behaviors,,general_health,,
balanced_diet,,,,health_behaviors,,diet,,
daily_routine,,,,health_behaviors,,general_health,,
regular_exercise,,,,health_behaviors,,exercise,,
sleep_patterns,,,,health_behaviors,,misc_health,,
bad_habits,,,,health_behaviors,,general_health,,
lifestyle_choices,,,,health_behaviors,,general_health,,
alcoholism,,,,health_behaviors,,alcohol,,
drinking_alcohol,,,,health_behaviors,,alcohol,,
binge_drinking,,,,health_behaviors,,alcohol,,
heavy_drinking,,,,health_behaviors,,alcohol,,
excessive_drinking,,,,health_behaviors,,alcohol,,
smoking_cigarettes,,,,health_behaviors,,smoking,,
tobacco_use,,,,health_behaviors,,smoking,,
healthy_weight,,,,health_behaviors,,bodyweight,,
risky_behavior,,,,health_behaviors,,misc_health,,
premarital_sex,,,,health_behaviors,,sex,,
promiscuity,,,,health_behaviors,,sex,,
sexual_behavior,,,,health_behaviors,,sex,,
sexual_activity,,,,health_behaviors,,sex,,
cigarette_smoking,,,,health_behaviors,,smoking,,
weight_management,,,,health_behaviors,,bodyweight,,
stress_management,,,,health_behaviors,,stress,,
weightlifting,,,,health_behaviors,,exercise,,
weight_lifting,,,,health_behaviors,,exercise,,
behavior_modification,,,,health_behaviors,,general_health,,
proper_nutrition,,,,health_behaviors,,diet,,
stress_reduction,,,,health_behaviors,,stress,,
healthy_foods,,,,health_behaviors,,diet,,
addict,,,,health_behaviors,,drugs,,
drug_use,,,,health_behaviors,,drugs,,
drug_addict,,,,health_behaviors,,drugs,,
illicit_drugs,,,,health_behaviors,,drugs,,
using_drugs,,,,health_behaviors,,drugs,,
drug_users,,,,health_behaviors,,drugs,,
drug_addicted,,,,health_behaviors,,drugs,,
unmarried,w2v 1980-1982 model,,,Misc,,Negative,"not yet used but interesting words I've seen in models, or similar to them",
married,w2v 1980-1982 model,,,Misc,,Positive,"not yet used but interesting words I've seen in models, or similar to them",
divorced,w2v 1980-1982 model,,,Misc,,Negative,"not yet used but interesting words I've seen in models, or similar to them",
unwed,w2v 1980-1982 model,,,Misc,,Negative,"not yet used but interesting words I've seen in models, or similar to them",
childless,w2v 1980-1982 model,,,Misc,,Negative,"not yet used but interesting words I've seen in models, or similar to them",
infertile,w2v 1980-1982 model,,,Misc,,Negative,"not yet used but interesting words I've seen in models, or similar to them",
parent,,,,Misc,,,,
mother,,,,Misc,,,,
father,,,,Misc,,,,
husband,,,,Misc,,,,
wife,,,,Misc,,,,
spouse,,,,Misc,,,,
immature,w2v 1980-1982 model,,,Misc,,Negative,Put with personality traits?,
mature,w2v 1980-1982 model,,,Misc,,Positive,Put with personality traits?,
abnormal,w2v 1980-1982 model,,,Misc,,Negative,Maybe put in a different category from social categories?,
abnormally,w2v 1980-1982 model,,,Misc,,Negative,Maybe put in a different category from social categories?,
unemployed,,,,,,Negative,removed from personality traits so adding here,
employed,,,,,,Positive,,
citizen,,,,,,Positive,,
voter,,,,,,Positive,,
taxpayer,,,,,,Positive,,
wealthy,,,,,,Positive,,
rich,,,,,,Positive,,
poor,,,,,,Negative,,
graduate,,,,,,Positive,,
educated,,,,,,Positive,,
uneducated,,,,,,Negative,,
student,,,,,,,,
young,,,,,,,,
elderly,,,,,,,,
physician,,,,medicalization,cluster,,,
physicians,,,,medicalization,cluster,,,
prescription,,,,medicalization,cluster,,,
prescriptions,,,,medicalization,cluster,,,
hospital,,,,medicalization,cluster,,,
hospitals,,,,medicalization,cluster,,,
doctor,,,,medicalization,cluster,,,
doctors,,,,medicalization,cluster,,,
medical,,,,medicalization,cluster,,,
medicate,,,,medicalization,cluster,,,
medicine,,,,medicalization,cluster,,,
medication,,,,medicalization,cluster,,,
medications,,,,medicalization,cluster,,,
pharmaceutical,,,,medicalization,cluster,,,
pharmaceuticals,,,,medicalization,cluster,,,
pharmacology,,,,medicalization,cluster,,,
